english,tamil,syllables
alvaa,அல்வா,2
ala,அல,2
alakkaN,அலக்கண்,4
alakkazhi,அலக்கழி,4
alakkaaga,அலக்காக,4
alakku,அலக்கு,3
alagidu,அலகிடு,4
alagu,அலகு,3
alagupanai,அலகுபனை,5
alagai,அலகை,3
alagaiththaer,அலகைத்தேர்,5
alangam,அலங்கம்,4
alangamalanga,அலங்கமலங்க,6
alangari,அலங்கரி,4
alangaaram,அலங்காரம்,5
alangu,அலங்கு,3
alangoalam,அலங்கோலம்,5
alachchai,அலச்சை,3
alasal,அலசல்,4
alasu,அலசு,3
alatchiyam,அலட்சியம்,5
alattu,அலட்டு,3
alatthagam,அலட்தகம்,5
alam,அலம்,3
alambu,அலம்பு,3
alamaral,அலமரல்,5
alamaa,அலமா,3
alamaappu,அலமாப்பு,4
alamaari,அலமாரி,4
alar,அலர்,3
Alarkadhir,Aலர்கதிர்,3
alarththal,அலர்த்தல்,4
alari,அலரி,3
alavan,அலவன்,4
alavai,அலவை,3
alatRu,அலற்று,3
alaRal,அலறல்,4
alaRiyadiththukkoNdu,அலறியடித்துக்கொண்டு,8
alaRippudaiththukkoNdu,அலறிப்புடைத்துக்கொண்டு,8
alaRu,அலறு,3
alakshiyam,அலக்ஷியம்,5
alajjai,அலஜ்ஜை,3
alaakkaaga,அலாக்காக,4
alaadhi,அலாதி,3
alaayudhan,அலாயுதன்,5
alaarippu,அலாரிப்பு,4
ali,அலி,2
alimaram,அலிமரம்,5
aliyezhuththu,அலியெழுத்து,5
aleegan,அலீகன்,4
alu,அலு,2
alungu,அலுங்கு,3
aluminiyam,அலுமினியம்,6
aluval,அலுவல்,4
aluvalagam,அலுவலகம்,6
aluvalagar,அலுவலகர்,6
alai,அலை,2
alaikkazhi,அலைக்கழி,4
alaichchal,அலைச்சல்,4
alaidhaadi,அலைதாடி,4
alaipaay,அலைபாய்,4
alaimagaL,அலைமகள்,5
alaimoadhu,அலைமோது,4
alaiyal,அலையல்,4
alaivarisai,அலைவரிசை,5
alaivaay,அலைவாய்,4
alaivu,அலைவு,3
aloagam,அலோகம்,4
av,அவ்,2
avyaktham,அவ்யக்தம்,4
avva,அவ்வ,2
avvadhu,அவ்வது,3
avvappoadhu,அவ்வப்போது,4
avvayin,அவ்வயின்,4
avvavar,அவ்வவர்,4
avvazhi,அவ்வழி,3
avvaLavaaga,அவ்வளவாக,5
avvaLavu,அவ்வளவு,4
avvaLavudhaan,அவ்வளவுதான்,6
avvaaRu,அவ்வாறு,3
avviththal,அவ்வித்தல்,4
avviyam,அவ்வியம்,4
avvai,அவ்வை,2
avakkaedu,அவக்கேடு,4
avagadhi,அவகதி,4
avagaasam,அவகாசம்,5
avagaesi,அவகேசி,4
avakaedu,அவகேடு,4
avachchuzhi,அவச்சுழி,4
avachchol,அவச்சொல்,4
avasagunam,அவசகுனம்,6
avasam,அவசம்,4
avasarakkudukkai,அவசரக்குடுக்கை,7
avasarakkoalam,அவசரக்கோலம்,7
avasarachchattam,அவசரச்சட்டம்,7
avasarasigichchai,அவசரசிகிச்சை,7
avasarappadu,அவசரப்படு,6
avasaram,அவசரம்,5
avasiyam,அவசியம்,5
avaN,அவண்,3
avaththuRai,அவத்துறை,4
avaththai,அவத்தை,3
avadharaNam,அவதரணம்,6
avadhari,அவதரி,4
avadhaaram,அவதாரம்,5
avadhaarigai,அவதாரிகை,5
avadhaanam,அவதானம்,5
avadhaani,அவதானி,4
avadhi,அவதி,3
avadhippadu,அவதிப்படு,5
avadhoodhan,அவதூதன்,5
avadhooRu,அவதூறு,4
avańdharai,அவந்தரை,4
avańdhan,அவந்தன்,4
avańdhi,அவந்தி,3
avańdhigai,அவந்திகை,4
avańambikkai,அவநம்பிக்கை,5
avańudhi,அவநுதி,4
avappaer,அவப்பேர்,4
avappozhudhu,அவப்பொழுது,5
avam,அவம்,3
avamadhi,அவமதி,4
avamariyaadhai,அவமரியாதை,6
avamaanam,அவமானம்,5
avayakkoazhi,அவயக்கோழி,5
avayangaaththal,அவயங்காத்தல்,6
avayam,அவயம்,4
avayavam,அவயவம்,5
avayavi,அவயவி,4
avar,அவர்,3
avargaL,அவர்கள்,4
avarvayinvidhumbal,அவர்வயின்விதும்பல்,8
avarai,அவரை,3
avaroagaNam,அவரோகணம்,6
aval,அவல்,3
avalachchuvai,அவலச்சுவை,5
avalachchuzhi,அவலச்சுழி,5
avalatchaNam,அவலட்சணம்,6
avalam,அவலம்,4
avalambi,அவலம்பி,4
avalakshaNam,அவலக்ஷணம்,6
avali,அவலி,3
avaL,அவள்,3
avan,அவன்,3
avani,அவனி,3
avaniban,அவனிபன்,5
avaśthai,அவஸ்தை,3
avaa,அவா,2
avaańdharam,அவாந்தரம்,5
avaayńilai,அவாய்நிலை,4
avaavaRuththal,அவாவறுத்தல்,6
avaavaamai,அவாவாமை,4
avaavinmai,அவாவின்மை,4
avaavu,அவாவு,3
avi,அவி,2
avigaaram,அவிகாரம்,5
avichchai,அவிச்சை,3
avisal,அவிசல்,4
avisu,அவிசு,3
avittam,அவிட்டம்,4
avińayasaalai,அவிநயசாலை,6
avińayam,அவிநயம்,5
avińayar,அவிநயர்,5
avińaasam,அவிநாசம்,5
avippali,அவிப்பலி,4
avibaktha,அவிபக்த,4
avyal,அவ்யல்,3
avir,அவிர்,3
avirppaagam,அவிர்ப்பாகம்,5
avirmadhi,அவிர்மதி,4
aviroLi,அவிரொளி,4
avildhaar,அவில்தார்,4
avivaegam,அவிவேகம்,5
avivaegi,அவிவேகி,4
avizh,அவிழ்,3
avinayam,அவினயம்,5
avinaasi,அவினாசி,4
avuNan,அவுணன்,4
avudhaa,அவுதா,3
avuri,அவுரி,3
avuldhaar,அவுல்தார்,4
avai,அவை,2
avaikkaLam,அவைக்களம்,5
avaiththalaivar,அவைத்தலைவர்,6
avaimunnavar,அவைமுன்னவர்,6
avaiyadakkam,அவையடக்கம்,6
avaiyadakku,அவையடக்கு,5
avaiyaththaar,அவையத்தார்,5
avaiyam,அவையம்,4
avaiyal,அவையல்,4
avaiyalkiLavi,அவையல்கிளவி,6
avaiyaRidhal,அவையறிதல்,6
azhagar,அழகர்,4
azhagan,அழகன்,4
azhagi,அழகி,3
azhagidhu,அழகிது,4
azhagu,அழகு,3
azhagukaattu,அழகுகாட்டு,5
azhagusaadhanam,அழகுசாதனம்,7
azhal,அழல்,3
azhalai,அழலை,3
azhaRkaNNan,அழற்கண்ணன்,5
azhaRkadhir,அழற்கதிர்,5
azhaRkaay,அழற்காய்,4
azhaRchi,அழற்சி,3
azhan,அழன்,3
azhi,அழி,2
azhichchaattam,அழிச்சாட்டம்,5
azhichchaattiyam,அழிச்சாட்டியம்,6
azhithagavu,அழிதகவு,5
azhidhanmaalai,அழிதன்மாலை,5
azhippaan,அழிப்பான்,4
azhipasi,அழிபசி,4
azhipadar,அழிபடர்,5
azhipadudhal,அழிபடுதல்,6
azhipaadu,அழிபாடு,4
azhipeyal,அழிபெயல்,5
azhimbu,அழிம்பு,3
azhivazhakku,அழிவழக்கு,5
azhivu,அழிவு,3
azhu,அழு,2
azhukkatRu,அழுக்கற்று,4
azhukkaRu,அழுக்கறு,4
azhukkaRuppaan,அழுக்கறுப்பான்,6
azhukkan,அழுக்கன்,4
azhukkaaRu,அழுக்காறு,4
azhukku,அழுக்கு,3
azhugal,அழுகல்,4
azhugu,அழுகு,3
azhuguNi,அழுகுணி,4
azhugai,அழுகை,3
azhungal,அழுங்கல்,4
azhungu,அழுங்கு,3
azhuththakkaaran,அழுத்தக்காரன்,6
azhuththam,அழுத்தம்,4
azhuththamthiruththam,அழுத்தம்திருத்தம்,7
azhuththi,அழுத்தி,3
azhuththu,அழுத்து,3
azhudhal,அழுதல்,4
azhudhuvazhidhal,அழுதுவழிதல்,7
azhuńdhu,அழுந்து,3
azhumoonji,அழுமூஞ்சி,4
azhuvam,அழுவம்,4
azhai,அழை,2
azhaippavar,அழைப்பவர்,5
azhaippaaLar,அழைப்பாளர்,5
azhaippidhazh,அழைப்பிதழ்,5
azhaippu,அழைப்பு,3
azhaippumaNi,அழைப்புமணி,5
aL,அள்,2
aLLal,அள்ளல்,3
aLLizhuththal,அள்ளிழுத்தல்,5
aLLu,அள்ளு,2
aLLumaańdham,அள்ளுமாந்தம்,5
aLLooRal,அள்ளூறல்,4
aLLooRudhal,அள்ளூறுதல்,5
aLa,அள,2
aLakkar,அளக்கர்,4
aLagapańdhi,அளகபந்தி,5
aLagabaaram,அளகபாரம்,6
aLagam,அளகம்,4
aLagaapuri,அளகாபுரி,5
aLagu,அளகு,3
aLagaesan,அளகேசன்,5
aLagai,அளகை,3
aLappariya,அளப்பரிய,5
aLappaLaththal,அளப்பளத்தல்,6
aLappaRidhal,அளப்பறிதல்,6
aLappu,அளப்பு,3
aLabu,அளபு,3
aLabedai,அளபெடை,4
aLam,அளம்,3
aLavadi,அளவடி,4
aLaval,அளவல்,4
aLavaLaay,அளவளாய்,5
aLavaLaaval,அளவளாவல்,6
aLavaLaavu,அளவளாவு,5
aLavidu,அளவிடு,4
aLavil,அளவில்,4
aLaviRaththal,அளவிறத்தல்,6
aLavinmai,அளவின்மை,4
aLavu,அளவு,3
aLavukoal,அளவுகோல்,5
aLavai,அளவை,3
aLavaińool,அளவைநூல்,5
aLavaiyaagupeyar,அளவையாகுபெயர்,8
aLaRu,அளறு,3
aLaRupadu,அளறுபடு,5
aLaaya,அளாய,3
aLaavu,அளாவு,3
aLi,அளி,2
aLiyan,அளியன்,4
aLai,அளை,2
aLai I,அளை I,3
aRkaa,அற்கா,2
aRgu,அற்கு,2
aRkuba,அற்குப,3
aRchiram,அற்சிரம்,4
aRchiRai,அற்சிறை,3
aRpasoRpam,அற்பசொற்பம்,5
aRpam,அற்பம்,3
aRpan,அற்பன்,3
aRpaayu,அற்பாயு,3
aRpaayusu,அற்பாயுசு,4
aRpaayuL,அற்பாயுள்,4
aRpudham,அற்புதம்,4
aRpudhan,அற்புதன்,4
atRam,அற்றம்,3
atRavar,அற்றவர்,4
atRaar,அற்றார்,3
atRu,அற்று,2
atRuppoa,அற்றுப்போ,3
atRael,அற்றேல்,3
atRai,அற்றை,2
atRaikkooli,அற்றைக்கூலி,4
atRaiththingaL,அற்றைத்திங்கள்,5
atRaińaaL,அற்றைநாள்,4
atRaipparisam,அற்றைப்பரிசம்,6
aRa,அற,2
aRakkattaLai,அறக்கட்டளை,5
aRakkadavuL,அறக்கடவுள்,6
aRakkadai,அறக்கடை,4
aRangadai,அறங்கடை,4
aRangaavalar,அறங்காவலர்,6
aRangooRavaiyam,அறங்கூறவையம்,7
aRachchaalai,அறச்சாலை,4
aRaththooRu,அறத்தூறு,4
aRaththupaal,அறத்துபால்,5
aRaththuRa,அறத்துற,4
aRaththuRai,அறத்துறை,4
aRańilai,அறநிலை,4
aRańool,அறநூல்,4
aRam,அறம்,3
aRal,அறல்,3
aRavan,அறவன்,4
aRavaazhi,அறவாழி,4
aRavi,அறவி,3
aRavidudhal,அறவிடுதல்,6
aRavurai,அறவுரை,4
aRavae,அறவே,3
aRavoar,அறவோர்,4
aRavoan,அறவோன்,4
aRan,அறன்,3
aRankadai,அறன்கடை,4
aRaa,அறா,2
aRaadha,அறாத,3
aRi,அறி,2
aRikkai,அறிக்கை,3
aRigilaadhaar,அறிகிலாதார்,6
aRiguRi,அறிகுறி,4
aRigondRu,அறிகொன்ன்று,4
aRingyan,அறிஞன்,4
aRithuyil,அறிதுயில்,5
aRiporuL,அறிபொருள்,5
aRimadam,அறிமடம்,5
aRimugam,அறிமுகம்,5
aRiyaamai,அறியாமை,4
aRiyaanvinaa,அறியான்வினா,5
aRiyuńan,அறியுநன்,5
aRiyoNaa,அறியொணா,4
aRivaRai,அறிவறை,4
aRivan,அறிவன்,4
aRivaaLan,அறிவாளன்,5
aRivaaLi,அறிவாளி,4
aRivi,அறிவி,3
aRivippu,அறிவிப்பு,4
aRiviyal,அறிவியல்,5
aRiviyaRkoodam,அறிவியற்கூடம்,7
aRivili,அறிவிலி,4
aRivinaa,அறிவினா,4
aRiveenam,அறிவீனம்,5
aRiveenan,அறிவீனன்,5
aRivu,அறிவு,3
aRivukoLuththudhal,அறிவுகொளுத்துதல்,8
aRivudaimai,அறிவுடைமை,5
aRivumayangal,அறிவுமயங்கல்,7
aRivurai,அறிவுரை,4
aRivuRuththu,அறிவுறுத்து,5
aRivuRudhal,அறிவுறுதல்,6
aRivujeevi,அறிவுஜீவி,5
aRu,அறு,2
aRugampul,அறுகம்புல்,5
aRugu,அறுகு,3
aRugai,அறுகை,3
aRukoaNam,அறுகோணம்,5
aRusuvai,அறுசுவை,4
aRuththavaL,அறுத்தவள்,5
aRuththukkattudhal,அறுத்துக்கட்டுதல்,7
aRudhal,அறுதல்,4
aRudhali,அறுதலி,4
aRudhi,அறுதி,3
aRudhipperumbaanmai,அறுதிப்பெரும்பான்மை,7
aRudhiyidu,அறுதியிடு,5
aRuthozhiloar,அறுதொழிலோர்,6
aRuppu,அறுப்பு,3
aRuppukkooli,அறுப்புக்கூலி,5
aRupagai,அறுபகை,4
aRupadham,அறுபதம்,5
aRubadhu,அறுபது,4
aRuparuvam,அறுபருவம்,6
aRupaan,அறுபான்,4
aRumbu,அறும்பு,3
aRumeen,அறுமீன்,4
aRumugan,அறுமுகன்,5
aRuvadai,அறுவடை,4
aRuvar,அறுவர்,4
aRuvai,அறுவை,3
aRuvaichchigichchai,அறுவைச்சிகிச்சை,6
aRai,அறை,2
aRaikkeerai,அறைக்கீரை,4
aRaikoovu,அறைகூவு,4
aRaipoadhal,அறைபோதல்,5
an,அன்,2
anbaLippu,அன்பளிப்பு,4
anban,அன்பன்,3
anbili,அன்பிலி,3
anbu,அன்பு,2
anbukoor,அன்புகூர்,4
anmai,அன்மை,2
anmaichchol,அன்மைச்சொல்,4
anvayi,அன்வயி,3
andRandRu,அன்ன்றன்ன்று,3
andRaadam,அன்ன்றாடம்,4
andRaadu,அன்ன்றாடு,3
andRaadukaasu,அன்ன்றாடுகாசு,5
andRi,அன்ன்றி,2
andRikkae,அன்ன்றிக்கே,3
andRiyum,அன்ன்றியும்,4
andRil,அன்ன்றில்,3
andRu,அன்ன்று,2
andRae,அன்ன்றே,2
andRaikku,அன்ன்றைக்கு,3
andRaiya,அன்ன்றைய,3
andRoa,அன்ன்றோ,2
Anna,Aன்ன,0
annakkaavadi,அன்னக்காவடி,5
annakkodi,அன்னக்கொடி,4
annachchaththiram,அன்னச்சத்திரம்,6
annasaalai,அன்னசாலை,4
annanaNam,அன்னனணம்,5
annadhaanam,அன்னதானம்,5
annappiraasanam,அன்னப்பிராசனம்,7
annam,அன்னம்,3
annar,அன்னர்,3
annavan,அன்னவன்,4
annavai,அன்னவை,3
annaasi,அன்னாசி,3
annabishaegam,அன்னபிஷேகம்,6
annaay,அன்னாய்,3
annaaL,அன்னாள்,3
annaan,அன்னான்,3
anniyaputtam,அன்னியபுட்டம்,6
anniyam,அன்னியம்,4
anniyamaakku,அன்னியமாக்கு,5
anniyar,அன்னியர்,4
anniyoanniyam,அன்னியோன்னியம்,6
annuvayam,அன்னுவயம்,5
annai,அன்னை,2
annoa,அன்னோ,2
anagan,அனகன்,4
anangam,அனங்கம்,4
anangan,அனங்கன்,4
anasanam,அனசனம்,5
anaththam,அனத்தம்,4
anaththiyayanam,அனத்தியயனம்,7
anańdhasayanan,அனந்தசயனன்,7
anańtham,அனந்தம்,4
anańthar,அனந்தர்,4
anańtharavaarisu,அனந்தரவாரிசு,7
anańthal,அனந்தல்,4
anańthan,அனந்தன்,4
anabaayan,அனபாயன்,5
anarththam,அனர்த்தம்,4
anal,அனல்,3
analam,அனலம்,4
anali,அனலி,3
anavaradham,அனவரதம்,6
anavaradhamum,அனவரதமும்,7
anaachaaram,அனாசாரம்,5
anaadharatchagan,அனாதரட்சகன்,7
anaadhi,அனாதி,3
annaadhai,அன்னாதை,3
anaayaasam,அனாயாசம்,5
anaavasiyam,அனாவசியம்,6
anaavirutti,அனாவிருட்டி,5
anaavirushti,அனாவிருஷ்டி,5
anigam,அனிகம்,4
anichcham,அனிச்சம்,4
anichchai,அனிச்சை,3
anichchaichcheyal,அனிச்சைச்செயல்,6
aniyaayam,அனியாயம்,5
anilam,அனிலம்,4
anukkiragam,அனுக்கிரகம்,6
anukaraNavoasai,அனுகரணவோசை,7
anugoolam,அனுகூலம்,5
anusańdhaanam,அனுசந்தானம்,6
anusaraNai,அனுசரணை,5
anusari,அனுசரி,4
anuchan,அனுசன்,4
anuchidham,அனுசிதம்,5
anuttaanam,அனுட்டானம்,5
anudhaabam,அனுதாபம்,5
anudhinam,அனுதினம்,5
anudhinamum,அனுதினமும்,6
anuppu,அனுப்பு,3
anubańdham,அனுபந்தம்,5
anupallavi,அனுபல்லவி,5
anubavam,அனுபவம்,5
anubavi,அனுபவி,4
anubaanam,அனுபானம்,5
anupoodhi,அனுபூதி,4
anumadhi,அனுமதி,4
anuman,அனுமன்,4
anumaan,அனுமான்,4
anumaanam,அனுமானம்,5
anumaani,அனுமானி,4
anuraagam,அனுராகம்,5
anuloaman,அனுலோமன்,5
anushtaanam,அனுஷ்டானம்,5
anusham,அனுஷம்,4
anaegam,அனேகம்,4
anaegamaaga,அனேகமாக,5
anaiththu,அனைத்து,3
anaiththum,அனைத்தும்,4
anaiya,அனைய,3
akshakkoadu,அக்ஷக்கோடு,4
akshadhai,அக்ஷதை,3
aksham,அக்ஷம்,3
akshamaNi,அக்ஷமணி,4
akshamaalai,அக்ஷமாலை,4
akshaya,அக்ஷய,3
akshayapaathram,அக்ஷயபாத்ரம்,6
akshayam,அக்ஷயம்,4
aksharagaNidham,அக்ஷரகணிதம்,7
aksharam,அக்ஷரம்,4
aksharaabyaasam,அக்ஷராப்யாசம்,6
akshaamsam,அக்ஷாம்சம்,4
akshi,அக்ஷி,2
akshowhiNi,அக்ஷொளஹிணி,4
ajagajaańdharam,அஜகஜாந்தரம்,7
ajam,அஜம்,3
ajan,அஜன்,3
ajaakkiradhai,அஜாக்கிரதை,5
ajaakradhai,அஜாக்ரதை,4
ajeeraNam,அஜீரணம்,5
ashtakoaNam,அஷ்டகோணம்,5
ashtasiththi,அஷ்டசித்தி,4
ashtadhikkajam,அஷ்டதிக்கஜம்,6
ashtadhikbaalagar,அஷ்டதிக்பாலகர்,7
ashtanaagabandham,அஷ்டனாகபந்தம்,7
ashtapaadham,அஷ்டபாதம்,5
ashtamachchani,அஷ்டமச்சனி,5
ashtamam,அஷ்டமம்,4
ashtamaasiththi,அஷ்டமாசித்தி,5
ashtamaańaagam,அஷ்டமாநாகம்,6
ashtami,அஷ்டமி,3
ashtamoorththam,அஷ்டமூர்த்தம்,5
ashtamoorththi,அஷ்டமூர்த்தி,4
ashtalatchumi,அஷ்டலட்சுமி,5
ashtalakshmi,அஷ்டலக்ஷ்மி,4
ashtaavadhaanam,அஷ்டாவதானம்,6
ashtaavadhaani,அஷ்டாவதானி,5
aśka,அஸ்க,2
aśthrasaaśthiram,அஸ்த்ரசாஸ்திரம்,6
aśthagiri,அஸ்தகிரி,4
aśthami,அஸ்தமி,3
aśthi,அஸ்தி,2
aśthiram,அஸ்திரம்,4
aśthivaaram,அஸ்திவாரம்,5
aśmaanagiri,அஸ்மானகிரி,5
aśowkyam,அஸொளக்யம்,4
aśowgariyam,அஸொளகரியம்,6
aharnisam,அஹர்னிசம்,5
ahaś,அஹஸ்,3
ahimsai,அஹிம்சை,3
ahimśai,அஹிம்ஸை,3
ahoaraathram,அஹோராத்ரம்,5
aa,ஆ,1
aa a,ஆ அ,2
aa aa,ஆ ஆ,2
aakkakkiLavi,ஆக்கக்கிளவி,5
aakkadham,ஆக்கதம்,4
aakkappeyar,ஆக்கப்பெயர்,5
aakkam,ஆக்கம்,3
aakkar,ஆக்கர்,3
aakkal,ஆக்கல்,3
aakkaattu,ஆக்காட்டு,3
aakkińaeyam,ஆக்கிநேயம்,5
aakkiyaańam,ஆக்கியாநம்,5
aakkiyaanam,ஆக்கியானம்,5
aakkiyoan,ஆக்கியோன்,4
aakkirami,ஆக்கிரமி,4
aakkiraaNam,ஆக்கிராணம்,5
aakkinaeyam,ஆக்கினேயம்,5
aakkinai,ஆக்கினை,3
aakku,ஆக்கு,2
aakkuppurai,ஆக்குப்புரை,4
aakkai,ஆக்கை,2
aakkaiyili,ஆக்கையிலி,4
aakngyai,ஆக்ஞை,2
aakroasham,ஆக்ரோஷம்,4
aaga,ஆக,2
aagakkoodi,ஆகக்கூடி,4
aagattum,ஆகட்டும்,4
aagadiyam,ஆகடியம்,5
aagaNdalan,ஆகண்டலன்,5
aagadhar,ஆகதர்,4
aagańdhugam,ஆகந்துகம்,5
aagam,ஆகம்,3
aagamam,ஆகமம்,4
aagamanam,ஆகமனம்,5
aagamili,ஆகமிலி,4
aagarshi,ஆகர்ஷி,3
aagaram,ஆகரம்,4
aagal,ஆகல்,3
aagavam,ஆகவம்,4
aagavae,ஆகவே,3
aagaa,ஆகா,2
aagaasakkappal,ஆகாசக்கப்பல்,6
aagaasakkoattai,ஆகாசக்கோட்டை,5
aagaasagangai,ஆகாசகங்கை,5
aagaasakamanam,ஆகாசகமனம்,7
aagaasaththaamarai,ஆகாசத்தாமரை,6
aagaasappańdhal,ஆகாசப்பந்தல்,6
aagaappuLugu,ஆகாப்புளுகு,5
aagaasam,ஆகாசம்,4
aagaasalingam,ஆகாசலிங்கம்,6
aagaasavaaNi,ஆகாசவாணி,5
aagaaththiyam,ஆகாத்தியம்,5
aagaadhavan,ஆகாதவன்,5
aagaamiyam,ஆகாமியம்,5
aagaayakkappal,ஆகாயக்கப்பல்,6
aagaakkoattai,ஆகாக்கோட்டை,4
aagaayagangai,ஆகாயகங்கை,5
aagaayakamanam,ஆகாயகமனம்,7
aagaayaththaamarai,ஆகாயத்தாமரை,6
aagaayappańdhal,ஆகாயப்பந்தல்,6
aagaayappuLugu,ஆகாயப்புளுகு,6
aagaayam,ஆகாயம்,4
aagaayalingam,ஆகாயலிங்கம்,6
aagaayavaaNi,ஆகாயவாணி,5
aagaaram,ஆகாரம்,4
aagiya,ஆகிய,3
aakirudhi,ஆகிருதி,4
aagil,ஆகில்,3
aagilum,ஆகிலும்,4
aagivańdha,ஆகிவந்த,4
aagu,ஆகு,2
aagudhi,ஆகுதி,3
aagupeyar,ஆகுபெயர்,5
aagulam,ஆகுலம்,4
aaguvadhu,ஆகுவது,4
aaguLi,ஆகுளி,3
aagaiyaal,ஆகையால்,4
aanga,ஆங்க,2
aangaN,ஆங்கண்,3
aanganam,ஆங்கனம்,4
aangaangu,ஆங்காங்கு,3
aangaaram,ஆங்காரம்,4
aangaalam,ஆங்காலம்,4
aangilam,ஆங்கிலம்,4
aangu,ஆங்கு,2
aangnganam,ஆன்க்ங்கனம்,4
aachchariyam,ஆச்சரியம்,5
aachchaa,ஆச்சா,2
aachchi,ஆச்சி,2
aachichiyam,ஆசிசியம்,5
aachichiramam,ஆசிசிரமம்,6
aachichirayam,ஆசிசிரயம்,6
aachchu,ஆச்சு,2
aasangai,ஆசங்கை,3
aasańdhi,ஆசந்தி,3
aasam,ஆசம்,3
aasamanam,ஆசமனம்,5
aasayam,ஆசயம்,4
aasari,ஆசரி,3
aasavam,ஆசவம்,4
aasaRudhi,ஆசறுதி,4
aasanam,ஆசனம்,4
aasanavaay,ஆசனவாய்,5
aasanan,ஆசனன்,4
aasaabangam,ஆசாபங்கம்,5
aasaapaasam,ஆசாபாசம்,5
aasaami,ஆசாமி,3
aasaarakkaLLan,ஆசாரக்கள்ளன்,6
aasaarakkoavai,ஆசாரக்கோவை,5
aasaaram,ஆசாரம்,4
aasaaravaasal,ஆசாரவாசல்,6
aasaari,ஆசாரி,3
aasaariyan,ஆசாரியன்,5
aasaan,ஆசான்,3
aasi,ஆசி,2
aasiyam,ஆசியம்,4
aasiyaa,ஆசியா,3
aasiramam,ஆசிரமம்,5
aasirayi,ஆசிரயி,4
aasiriyappaa,ஆசிரியப்பா,5
aasiriyam,ஆசிரியம்,5
aasiriyavasanam,ஆசிரியவசனம்,8
aasiriyar,ஆசிரியர்,5
aasiriyan,ஆசிரியன்,5
aasini,ஆசினி,3
aaseeyam,ஆசீயம்,4
aaseervadhi,ஆசீர்வதி,4
aaseevagar,ஆசீவகர்,5
aasu,ஆசு,2
aasugam,ஆசுகம்,4
aasukavi,ஆசுகவி,4
aasugi,ஆசுகி,3
aasuram,ஆசுரம்,4
aasuri,ஆசுரி,3
aasuvaasam,ஆசுவாசம்,5
aasai,ஆசை,2
aasaikkizhaththi,ஆசைக்கிழத்தி,5
aasaikaattu,ஆசைகாட்டு,4
aasainaayagi,ஆசைனாயகி,5
aasaippadu,ஆசைப்படு,4
aasowcham,ஆசொளசம்,4
aanjańaeyan,ஆஞ்சநேயன்,5
aangyngyaachakkaram,ஆஞ்ஞாசக்கரம்,6
aangyngyaapi,ஆஞ்ஞாபி,3
aangyngyai,ஆஞ்ஞை,2
aatkaatti,ஆட்காட்டி,3
aatkooli,ஆட்கூலி,3
aatkolli,ஆட்கொல்லி,3
aatkoL,ஆட்கொள்,3
aatchi,ஆட்சி,2
aatchimozhi,ஆட்சிமொழி,4
aatchei,ஆட்செஇ,3
aatchaebam,ஆட்சேபம்,4
aatchaebi,ஆட்சேபி,3
aattam,ஆட்டம்,3
aattal,ஆட்டல்,3
aattu,ஆட்டு,2
aattukkal,ஆட்டுக்கல்,4
aattukkidai,ஆட்டுக்கிடை,4
aattuththotti,ஆட்டுத்தொட்டி,4
aattuppatti,ஆட்டுப்பட்டி,4
aattuppalagai,ஆட்டுப்பலகை,5
aattural,ஆட்டுரல்,4
attroasanai,அட்ட்ரோசனை,4
aattai,ஆட்டை,2
aatpadu,ஆட்படு,3
aatpiramaaNam,ஆட்பிரமாணம்,6
aadagam,ஆடகம்,4
aadagan,ஆடகன்,4
aadagi,ஆடகி,3
aadam,ஆடம்,3
aadambaram,ஆடம்பரம்,5
aadal,ஆடல்,3
aadalai,ஆடலை,3
aadavar,ஆடவர்,4
aadavallaan,ஆடவல்லான்,5
aadavaL,ஆடவள்,4
aadavan,ஆடவன்,4
aadaathoadai,ஆடாதோடை,4
aadi,ஆடி,2
aadippattam,ஆடிப்பட்டம்,5
aadipperukku,ஆடிப்பெருக்கு,5
aadippoa,ஆடிப்போ,3
aadu,ஆடு,2
aadukaLam,ஆடுகளம்,5
aadusadhai,ஆடுசதை,4
aaduthinnaappaaLai,ஆடுதின்னாப்பாளை,6
aadutheeNdaappaaLai,ஆடுதீண்டாப்பாளை,6
aaduńar,ஆடுநர்,4
aadumaadu,ஆடுமாடு,4
Aadoo u,Aஅடூ உ,2
aadooumunnilai,ஆடூஉமுன்னிலை,6
aadoouvaRisol,ஆடூஉவறிசொல்,7
aadai,ஆடை,2
aaN,ஆண்,2
aaNdalai,ஆண்டலை,3
aaNdalaikkodi,ஆண்டலைக்கொடி,5
aaNdavan,ஆண்டவன்,4
aaNdaLappaan,ஆண்டளப்பான்,5
aaNdaaL,ஆண்டாள்,3
aaNdaan,ஆண்டான்,3
aaNdi,ஆண்டி,2
aaNdichchi,ஆண்டிச்சி,3
aaNdu,ஆண்டு,2
aaNdai,ஆண்டை,2
aaNdozhil,ஆண்டொழில்,4
aaNpanai,ஆண்பனை,3
aaNpaal,ஆண்பால்,3
aaNpiLLai,ஆண்பிள்ளை,3
aaNmagan,ஆண்மகன்,4
aaNmaram,ஆண்மரம்,4
aaNmai,ஆண்மை,2
aaNam,ஆணம்,3
aaNavam,ஆணவம்,4
aaNi,ஆணி,2
aaNikkal,ஆணிக்கல்,4
aaNiththangam,ஆணித்தங்கம்,5
aaNiththaram,ஆணித்தரம்,5
aaNippon,ஆணிப்பொன்,4
